Código do Termo;Termo;;;;;;;;;;
111220;Secretário - executivo;;;;;;;;;;
123105;Diretor administrativo;;;;;;;;;;
123110;Diretor administrativo e financeiro;;;;;;;;;;
123115;Diretor financeiro;;;;;;;;;;
123205;Diretor de recursos humanos;;;;;;;;;;
123305;Diretor comercial;;;;;;;;;;
123310;Diretor de marketing;;;;;;;;;;
123405;Diretor de suprimentos;;;;;;;;;;
123705;Diretor de pesquisa e desenvolvimento (p&d);;;;;;;;;;
142105;Gerente administrativo;;;;;;;;;;
142110;Gerente de riscos;;;;;;;;;;
142115;Gerente financeiro;;;;;;;;;;
142205;Gerente de recursos humanos;;;;;;;;;;
142210;Gerente de departamento pessoal;;;;;;;;;;
142305;Gerente comercial;;;;;;;;;;
142315;Gerente de marketing;;;;;;;;;;
142320;Gerente de vendas;;;;;;;;;;
142405;Gerente de compras;;;;;;;;;;
142410;Gerente de suprimentos;;;;;;;;;;
142415;Gerente de almoxarifado;;;;;;;;;;
142510;Gerente de desenvolvimento de sistemas;;;;;;;;;;
142520;Gerente de projetos de tecnologia da informação;;;;;;;;;;
142605;Gerente de pesquisa e desenvolvimento (p&d);;;;;;;;;;
203005;Pesquisador em Biologia Ambiental;;;;;;;;;;
203010;Pesquisador em Biologia Animal;;;;;;;;;;
203015;Pesquisador em biologia de Microorganismos e parasitas;;;;;;;;;;
203020;Pesquisador em Biologia Humana;;;;;;;;;;
203525;Pesquisador em Psicologia;;;;;;;;;;
212305;Administrador de banco de dados;;;;;;;;;;
212315;Administrador de sistemas operacionais;;;;;;;;;;
212420;Analista de suporte computacional;;;;;;;;;;
214205;Engenheiro civil;;;;;;;;;;
214260;Engenheiro civil (saneamento);;;;;;;;;;
234445;Professor de Nutrição;;;;;;;;;;
234455;Professor de Terapia Ocupacional;;;;;;;;;;
239410;Orientador Educacional;;;;;;;;;;
239415;Pedagogo;;;;;;;;;;
241005;Advogado;;;;;;;;;;
241010;Advogado de empresa;;;;;;;;;;
251610;Economista doméstico;;;;;;;;;;
252105;Administrador;;;;;;;;;;
252205;Auditor (contadores e afins);;;;;;;;;;
252210;Contador;;;;;;;;;;
254410;Fiscal de tributos municipal;;;;;;;;;;
261305;Arquivista;;;;;;;;;;
263105;Ministro de Culto Religioso;;;;;;;;;;
317205;Operador de computador;;;;;;;;;;
322235;Auxiliar de Enfermagem do Trabalho;;;;;;;;;;
331110;Auxiliar de Desenvolvimento Infantil;;;;;;;;;;
333110;Instrutor de Cursos Livres;;;;;;;;;;
352205;Agente de defesa ambiental;;;;;;;;;;
354205;Comprador;;;;;;;;;;
354210;Supervisor de compras;;;;;;;;;;
371410;Recreador;;;;;;;;;;
376215;Artista de Circo (outros);;;;;;;;;;
410105;Supervisor administrativo;;;;;;;;;;
410205;Supervisor de almoxarifado;;;;;;;;;;
410215;Supervisor de contas a pagar;;;;;;;;;;
410220;Supervisor de controle patrimonial;;;;;;;;;;
410235;Supervisor de tesouraria;;;;;;;;;;
411030;Auxiliar de pessoal;;;;;;;;;;
412105;Datilógrafo;;;;;;;;;;
412110;Digitador;;;;;;;;;;
412205;Contínuo;;;;;;;;;;
413110;Auxiliar de contabilidade;;;;;;;;;;
413115;Auxiliar de faturamento;;;;;;;;;;
413205;Atendente de agência;;;;;;;;;;
414105;Almoxarife;;;;;;;;;;
415105;Arquivista de documentos;;;;;;;;;;
420125;Supervisor de recepcionistas;;;;;;;;;;
421305;Cobrador externo;;;;;;;;;;
422105;Recepcionista, em geral;;;;;;;;;;
422205;Telefonista;;;;;;;;;;
422310;Operador de telemarketing ativo e receptivo;;;;;;;;;;
510105;Supervisor de transportes;;;;;;;;;;
510115;Supervisor de andar;;;;;;;;;;
513205;Cozinheiro geral;;;;;;;;;;
513220;Cozinheiro de hospital;;;;;;;;;;
513425;Copeiro;;;;;;;;;;
513430;Copeiro de hospital;;;;;;;;;;
514105;Ascensorista;;;;;;;;;;
515115;Parteira leiga;;;;;;;;;;
515205;Auxiliar de banco de sangue;;;;;;;;;;
516305;Lavadeiro, em geral;;;;;;;;;;
516325;Passador de roupas em geral;;;;;;;;;;
516340;Atendente de lavanderia;;;;;;;;;;
516345;Auxiliar de lavanderia;;;;;;;;;;
517215;Guarda-civil municipal;;;;;;;;;;
517330;Vigilante;;;;;;;;;;
517420;Vigia;;;;;;;;;;
622010;Jardineiro;;;;;;;;;;
715210;Pedreiro;;;;;;;;;;
716405;Gesseiro;;;;;;;;;;
717020;Servente de obras;;;;;;;;;;
723310;Pintor a pincel e rolo (exceto obras e estruturas metálicas);;;;;;;;;;
724110;Encanador;;;;;;;;;;
771105;Marceneiro;;;;;;;;;;
782305;Motorista de carro de passeio;;;;;;;;;;
862120;Operador de caldeira;;;;;;;;;;
2235;Outros enfermeiros;;;;;;;;;;
;Enfermeiro Estomaterapeuta;;;;;;;;;;
322115;Quiropraxista Cinesoterapeuta Eutonista;;;;;;;;;;
142505;Gerente de rede;;;;;;;;;;
213105;Físico;;;;;;;;;;
213155;Físico (nuclear e reatores);;;;;;;;;;
213150;Físico (medicina);;;;;;;;;;
223129;Médico Generalista Alopata;;;;;;;;;;
223625;Fisioterapeuta respiratória;;;;;;;;;;
225250;Médico Ginecologista e Obstetra;;;;;;;;;;
251515;Psicólogo do Esporte;;;;;;;;;;
251540;Psicólogo do trabalho;;;;;;;;;;
251530;Psicólogo Social;;;;;;;;;;
251505;Psicólogo Educacional;;;;;;;;;;
251520;Psicólogo Hospitalar;;;;;;;;;;
251525;Psicólogo Jurídico;;;;;;;;;;
251535;Psicólogo do trânsito;;;;;;;;;;
251555;Psicólogo acupunturista;;;;;;;;;;
2231A1;Médico broncoesofalogista;;;;;;;;;;
;Médico Cardiologista Intervencionista;;;;;;;;;;
225280;Médico coloproctologista;;;;;;;;;;
;Médico em medicina preventiva e social;;;;;;;;;;
223127;Médico foniatra;;;;;;;;;;
2231A2;Médico hansenologista;;;;;;;;;;
225350;Médico neurofisiologista clínico;;;;;;;;;;
;Médico residente;;;;;;;;;;
223305;Médico veterinário;;;;;;;;;;
221205;BioMédico;;;;;;;;;;
239405;Coordenador Pedagógico;;;;;;;;;;
222105;Engenheiro Agrícola;;;;;;;;;;
222110;Engenheiro Agrônomo;;;;;;;;;;
213105;Físico;;;;;;;;;;
262620;Musicólogo;;;;;;;;;;
239205;Professor de alunos com deficiência auditiva e surdos;;;;;;;;;;
239210;Professor de alunos com deficiência física;;;;;;;;;;
239220;Professor de alunos com deficiência múltipla;;;;;;;;;;
239225;Professor de alunos com deficiência visual;;;;;;;;;;
203305;Pesquisador de Clinica Médica;;;;;;;;;;
203310;Pesquisador de Medicina Básica;;;;;;;;;;
203505;Pesquisador em Ciências Sociais e Humanas;;;;;;;;;;
203320;Pesquisador em Saúde Coletiva;;;;;;;;;;
224120;Preparador Físico;;;;;;;;;;
231205;Professor da Educação de Jovens e Adulto;;;;;;;;;;
232105;Professor de Artes no Ensino Médio;;;;;;;;;;
231315;Professor de educação física do ensino fundamental;;;;;;;;;;
234410;Professor de educação física no ensino superior;;;;;;;;;;
232120;Professor de educação física no ensino médio;;;;;;;;;;
239420;Professor de técnicas e Recursos Audiovisuais;;;;;;;;;;
213205;Químico;;;;;;;;;;
322250;Auxiliar de enfermagem da estratégia de saúde da família;;;;;;;;;;
515120;Visitador Sanitário;;;;;;;;;;
3222E1;Técnico de enfermagem de saúde da família;;;;;;;;;;
322210;Técnico de enfermagem de terapia intensiva;;;;;;;;;;
322215;Técnico de enfermagem do trabalho;;;;;;;;;;
515210;Auxiliar de Farmácia de Manipulação;;;;;;;;;;
515225;Auxiliar de Produção Farmacêutica;;;;;;;;;;
325105;Auxiliar técnico em laboratório de farmácia;;;;;;;;;;
810305;Mestre de produção farmacêutica;;;;;;;;;;
325115;Técnico em Farmácia;;;;;;;;;;
325310;Técnico em Imunobiológicos;;;;;;;;;;
515215;Auxiliar de Laboratório de Análises Clínicas;;;;;;;;;;
515220;Auxiliar de laboratório de imunobiológicos;;;;;;;;;;
324210;Auxiliar Técnico em Patologia Clínica;;;;;;;;;;
325110;Técnico em Laboratório de Farmácia;;;;;;;;;;
324205;Técnico em patologia clínica;;;;;;;;;;
322605;Técnico de imobilização ortopédica;;;;;;;;;;
322505;Técnico de ortopedia;;;;;;;;;;
3135D1;Técnico em reabilitação;;;;;;;;;;
322420;Auxiliar de Prótese Dentária;;;;;;;;;;
322410;Protético Dentário;;;;;;;;;;
322405;Técnico em saúde bucal;;;;;;;;;;
3135D2;Técnico em equipamento médico hospitalar;;;;;;;;;;
324115;Técnico em radiologia e imagenologia;;;;;;;;;;
320110;Técnico em Histologia;;;;;;;;;;
322105;Técnico em acupuntura;;;;;;;;;;
322240;Auxiliar de saúde (navegação marítima);;;;;;;;;;
992225;Auxiliar geral de conservação de vias permanentes (exceto trilhos);;;;;;;;;;
914405;Mecânico de manutenção de automóveis, motocicletas e veículos similares;;;;;;;;;;
911305;Mecânico de manutenção de máquinas, em geral;;;;;;;;;;
911205;Mecânico de manutenção e instalação de aparelhos de climatização e refrigeração;;;;;;;;;;
262705;Musico Intérprete Cantor;;;;;;;;;;
262710;Musico Intérprete Instrumentista;;;;;;;;;;
239215;Professor de Alunos Com Deficiência Menta;;;;;;;;;;
331105;Professor de Nível Médio Na Educação Inf;;;;;;;;;;
331305;Professor de Nível Médio No Ensino Profis;;;;;;;;;;
325205;Técnico de Alimentos;;;;;;;;;;
224125;Técnico de Desporto Individual e Coletivo;;;;;;;;;;
312210;Técnico de Saneamento;;;;;;;;;;
313505;Técnico em Laboratório Óptico;;;;;;;;;;
324105;Técnico em Métodos Eletrográficos em Ence;;;;;;;;;;
324110;Técnico em Métodos Gráficos em Cardiologia;;;;;;;;;;
322305;Técnico em Óptica e Optometria Contatólog;;;;;;;;;;
311105;Técnico Químico;;;;;;;;;;
515105;Agente comunitário de saúde;;;;;;;;;;
352210;Agente de saúde pública;;;;;;;;;;
322415;Atendente de consultório dentário;;;;;;;;;;
515110;Atendente de enfermagem;;;;;;;;;;
521130;Atendente de farmácia - balconista;;;;;;;;;;
752105;Artesão modelador (vidros);;;;;;;;;;
212410;Analista de redes e de comunicação de dados;;;;;;;;;;
252545;Analista financeiro (instituições financeiras);;;;;;;;;;
214105;Arquiteto de edificações;;;;;;;;;;
411010;Assistente técnico administrativo;;;;;;;;;;
422110;Atendente de ambulatório ou clínica;;;;;;;;;;
411005;Auxiliar de escritório;;;;;;;;;;
411035;Auxiliar de estatística;;;;;;;;;;
351110;Chefe de contabilidade (técnico);;;;;;;;;;
123805;Diretor de manutenção;;;;;;;;;;
123210;Diretor de relações de trabalho;;;;;;;;;;
131105;Diretor de serviços culturais;;;;;;;;;;
123605;Diretor de serviços de informatica;;;;;;;;;;
131205;Diretor de serviços de saúde;;;;;;;;;;
131110;Diretor de serviços sociais;;;;;;;;;;
123410;Diretor de suprimentos no serviço publico;;;;;;;;;;
214915;Engenheiro de segurança do trabalho;;;;;;;;;;
142310;Gerente de comunicação;;;;;;;;;;
142515;Gerente de operação de tecnologia da informação;;;;;;;;;;
141205;Gerente de produção e operações;;;;;;;;;;
142705;Gerente de projetos e serviços de manutenção;;;;;;;;;;
142525;Gerente de segurança da informação;;;;;;;;;;
131115;Gerente de serviços culturais;;;;;;;;;;
131210;Gerente de serviços de saúde;;;;;;;;;;
131120;Gerente de serviços sociais;;;;;;;;;;
142530;Gerente de suporte técnico de tecnologia da informação;;;;;;;;;;
211115;Matemático;;;;;;;;;;
422220;Operador de radiochamada;;;;;;;;;;
422320;Operador de telemarketing técnico;;;;;;;;;;
234120;Professor de computação (no ensino superior);;;;;;;;;;
317110;Programador de sistemas de informação;;;;;;;;;;
252305;Secretário executivo;;;;;;;;;;
317210;Técnico de suporte ao usuário de tecnologia da informação;;;;;;;;;;
351105;Técnico de contabilidade;;;;;;;;;;
314405;Técnico de manutenção de sistemas e instrumentos;;;;;;;;;;
313215;Técnico eletrônico;;;;;;;;;;
351305;Técnico em administração;;;;;;;;;;
313220;Técnico em manutenção de equipamentos de informática;;;;;;;;;;
351505;Técnico em secretariado;;;;;;;;;;
351605;Técnico em segurança do trabalho;;;;;;;;;;
254310;Agente de higiene e segurança;;;;;;;;;;
725010;Ajustador mecânico;;;;;;;;;;
715615;Eletricista de instalações;;;;;;;;;;
512105;Empregado doméstico nos serviços gerais;;;;;;;;;;
516310;Lavador de roupas à máquina;;;;;;;;;;
514120;Zelador de edifício;;;;;;;;;;
783105;Agente de pátio;;;;;;;;;;
517310;Agente de segurança;;;;;;;;;;
517315;Agente de segurança penitenciária;;;;;;;;;;
519925;Guardador de veículos;;;;;;;;;;
517410;Porteiro de edifícios;;;;;;;;;;
764305;Acabador de calçados;;;;;;;;;;
763015;Costureira de reparação de roupas;;;;;;;;;;
763210;Costureiro na confecção em serie;;;;;;;;;;
841408;Cozinhador conservação de alimentos;;;;;;;;;;
513225;Cozinheiro de embarcações;;;;;;;;;;
782310;Motorista de furgão ou veículo similar;;;;;;;;;;
514225;Trabalhador de serviços de manutenção;;;;;;;;;;
