Ocupações Administrativas,ACADEMIA DA SAÚDE,CENTRAL DE REGUALAÇÃO,CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS,CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF,CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA,CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS,CENTRO DE PARTO NORMAL,CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE,CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA,CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO,CONSULTORIO,COOPERATIVA,FARMACIA,HOSPITAL ESPECIALIZADO,HOSPITAL GERAL,HOSPITAL DIA,LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN,LABORATORIO DE SAUDE PUBLICA,POLICLINICA,OFICINA ORTOPEDICA,POSTO DE SAUDE,PRONTO ANTEDIMENTO,PRONTO SOCORRO ESPECIALIZADO,PRONTO SOCORRO GERAL,SECRETARIA DE SAUDE,SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE),UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA,UNIDADE DE ATENCAO EM REGIME RESIDENCIAL,UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA,UNIDADE DE VIGILANCIA EM SAUDE,UNIDADE MISTA,UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI,UNIDADE MOVEL FLUVIAL,UNIDADE MOVEL TERRESTRE,TELESAÚDE,Total
ADMINISTRAÇÃO,222,6330,3615,179,1121,5750,38,55994,275,29549,7362,401,2748,17869,108335,3533,140,741,13090,13,3015,10293,846,3029,41951,541,428,71,17605,3120,2095,699,17,359,94,341468
..Administrador,13,111,7,1,27,79,2,599,6,1112,331,31,53,197,1319,32,7,13,283,2,55,76,7,18,1133,35,21,8,424,64,26,24,1,16,2,6135
..Administrador de banco de dados,-,9,-,-,-,2,-,16,-,1,1,-,-,13,29,-,-,-,2,-,4,-,-,2,93,-,-,-,2,1,2,-,-,-,2,179
..Administrador de sistemas operacionais,-,54,-,-,10,5,-,117,-,26,-,1,-,17,98,1,-,-,14,-,8,1,1,1,499,1,-,-,7,5,15,-,-,-,-,881
..Advogado,-,8,2,-,4,2,-,18,-,62,21,3,3,33,158,-,-,3,12,-,-,1,-,2,128,1,-,3,23,10,-,-,-,-,1,498
..Advogado de empresa,-,1,-,-,-,-,-,-,-,5,1,-,-,2,19,-,-,-,2,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,34
..Almoxarife,-,1,6,-,8,2,-,63,1,148,-,2,61,181,1596,24,-,-,38,-,7,110,5,25,196,5,4,-,73,4,16,3,-,-,-,2579
..Analista de redes e de comunicacao de dado,-,-,-,-,4,1,-,1,-,9,-,-,-,8,92,4,-,1,3,-,-,1,-,1,13,1,-,-,9,-,-,-,-,-,2,150
..Analista de suporte computacional,-,15,-,-,2,-,-,5,-,27,2,3,1,58,275,13,1,-,22,-,1,7,-,4,52,1,1,-,17,2,3,-,1,-,9,522
..Analista financeiro instituicoes financeir,-,-,-,-,-,-,-,-,-,28,1,1,-,21,147,11,-,-,9,-,-,4,1,-,8,4,-,-,12,-,-,-,-,-,-,247
..Arquiteto de edificacoes,-,-,-,-,-,-,-,-,1,-,-,-,-,4,53,-,-,-,2,-,-,-,-,-,37,-,2,-,1,25,-,-,-,-,-,125
..Arquivista,-,1,-,-,-,2,-,111,-,23,-,-,-,42,141,4,-,-,25,-,7,3,-,7,7,-,-,-,3,-,3,-,-,-,-,379
..Arquivista de documentos,-,-,-,-,-,1,-,50,-,5,-,-,-,68,122,6,-,-,26,-,-,1,2,-,10,-,-,-,3,1,1,-,-,-,-,296
..Assistente tecnico administrativo,44,3294,310,39,444,2483,15,19815,131,6736,657,107,1223,5672,30712,803,79,360,3817,-,796,3900,359,723,16028,151,187,17,3286,1243,586,91,4,97,29,104238
..Atendente de agencia,-,11,-,-,-,-,-,12,-,4,3,-,-,-,4,11,-,-,3,-,1,-,-,4,7,-,-,-,4,-,-,-,-,-,-,64
..Atendente de ambulatorio  atendente de cli,-,27,1,5,8,87,-,1603,-,2220,1128,1,25,393,3297,204,-,10,818,-,156,290,2,217,94,3,-,-,869,3,40,4,-,2,-,11507
..Auditor contadores e afins,-,19,-,-,-,1,-,1,-,3,-,-,-,7,82,2,-,-,-,-,-,-,-,-,76,1,-,-,1,132,-,-,-,-,-,325
..Auxiliar de contabilidade,-,2,-,-,-,-,-,5,-,48,3,2,4,69,471,6,-,-,13,-,-,11,-,4,46,7,2,-,22,-,1,-,-,-,1,717
..Auxiliar de escritorio em geral auxiliar a,9,686,74,15,246,864,9,10415,16,4623,1852,44,681,4453,25562,826,22,105,2503,-,316,1774,97,735,4792,71,38,5,2838,327,450,39,1,55,10,64553
..Auxiliar de estatistica,-,1,-,-,1,2,-,8,-,5,2,-,1,13,78,-,-,-,5,-,-,3,-,5,11,-,3,-,8,1,11,-,-,1,-,159
..Auxiliar de faturamento,-,9,1,-,10,13,-,45,4,566,25,24,3,489,4010,93,-,1,192,-,6,106,30,44,239,18,-,1,441,3,19,1,-,-,-,6393
..Auxiliar de pessoal,1,13,5,2,9,36,-,189,4,102,23,1,13,115,813,9,-,8,33,-,15,29,1,2,110,3,8,1,40,7,40,-,-,-,-,1632
..Chefe de contabilidade tecnico,-,-,-,-,2,-,-,1,-,1,-,-,-,3,14,-,-,-,3,-,-,3,-,-,11,-,1,-,-,-,-,-,-,-,-,39
..Cobrador externo,-,-,-,-,-,-,-,-,-,9,1,-,-,-,3,-,-,-,2,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,20
..Comprador,-,-,1,-,-,1,-,-,-,18,1,-,3,51,352,8,-,-,5,-,-,5,-,9,11,2,-,-,14,-,1,-,-,-,-,482
..Contador,-,14,3,-,2,1,-,8,-,65,12,7,1,55,474,6,1,2,19,-,-,3,-,1,127,4,3,1,29,-,1,-,-,1,-,840
..Continuo,-,1,-,2,2,6,-,95,-,98,3,2,7,235,745,1,-,4,20,-,33,7,2,8,48,-,-,-,58,10,-,-,-,-,-,1387
..Datilografo,-,-,-,-,6,3,-,59,-,9,-,-,-,42,99,-,-,2,50,-,-,3,-,1,21,-,1,-,1,5,2,-,-,-,-,304
..Digitador,6,405,12,8,1,112,-,2467,19,369,8,-,46,247,1164,6,8,64,230,-,196,30,4,9,7009,3,5,-,567,138,107,1,2,8,1,13252
..Diretor administrativo,27,130,19,11,12,204,-,1297,6,1240,329,22,59,159,1118,22,3,13,312,1,145,204,4,41,1225,25,16,12,421,160,119,44,1,21,5,7427
..Diretor administrativo e financeiro,1,-,-,-,5,1,-,11,-,131,40,3,7,40,141,4,-,1,25,-,-,8,3,3,109,5,-,3,76,2,2,1,-,3,1,626
..Diretor comercial,-,-,-,-,-,-,-,-,-,6,7,1,1,2,4,-,-,-,1,-,-,-,-,-,1,-,-,-,3,-,-,1,-,-,-,27
..Diretor de manutencao,-,1,-,-,5,-,-,-,-,5,-,-,1,6,36,-,-,-,1,-,-,1,1,-,14,-,-,-,-,-,-,-,-,-,-,71
..Diretor de marketing,-,-,-,-,-,-,-,-,-,1,-,-,-,1,2,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,6
..Diretor de pesquisa e desenvolvimento pd,-,-,-,-,-,-,-,-,-,1,-,-,-,2,4,-,-,-,1,-,-,-,-,-,1,-,-,-,2,-,-,-,-,-,-,11
..Diretor de recursos humanos,-,-,-,-,1,-,-,3,-,4,-,-,-,6,21,-,1,-,3,-,-,-,-,-,44,-,1,-,2,-,-,-,-,-,-,86
..Diretor de relacoes de trabalho,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,7
..Diretor de servicos culturais,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,3
..Diretor de servicos de informatica,-,4,-,1,-,-,-,19,-,8,1,2,-,4,22,-,-,-,5,-,1,1,-,-,83,-,-,-,1,-,-,-,-,-,-,152
..Diretor de servicos de saude  diretor clin,-,14,13,1,11,10,-,74,10,582,169,22,5,1048,5613,606,-,-,198,-,7,184,79,302,70,6,-,1,210,6,96,12,-,4,2,9355
..Diretor de servicos sociais,-,-,-,-,-,-,-,3,-,10,3,-,-,1,3,1,-,-,-,-,-,-,-,-,10,-,-,-,3,-,-,-,-,-,-,34
..Diretor de suprimentos,-,-,-,-,-,-,-,-,-,1,-,-,-,-,6,-,-,-,1,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,12
..Diretor de suprimentos no servico publico,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,5
..Diretor financeiro,-,-,-,-,1,-,-,-,-,18,3,2,2,7,30,1,-,1,11,-,-,1,-,1,27,2,1,-,11,-,-,-,-,-,-,119
..Economista domestico,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,-,-,-,2,-,-,-,-,-,4,-,-,-,-,1,-,-,-,-,-,14
..Engenheiro civil,-,1,-,-,-,-,-,2,-,12,6,-,-,24,142,2,-,-,6,-,-,-,-,-,220,-,28,-,3,67,-,-,-,-,-,513
..Engenheiro civil saneamento,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2,-,-,3,-,-,-,-,-,-,35,-,3,-,-,40,-,-,-,-,-,85
..Engenheiro de seguranca do trabalho,-,-,-,-,-,-,-,3,1,88,18,-,-,26,190,2,1,-,11,-,-,-,1,1,18,-,1,-,5,12,1,-,-,-,-,379
..Fiscal de tributos municipal,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,42,-,-,-,-,57,-,-,-,-,-,104
..Gerente administrativo,44,135,16,20,17,223,4,2001,11,2418,618,49,157,170,975,54,4,22,518,1,202,173,8,32,1161,107,32,5,974,146,32,78,3,27,6,10443
..Gerente comercial,-,-,-,-,-,1,-,-,-,26,11,-,11,6,24,3,-,-,10,-,-,-,-,-,-,2,-,-,24,-,-,3,-,-,-,121
..Gerente de almoxarifado,-,-,-,-,-,-,-,6,-,6,-,-,10,6,55,1,-,-,5,-,1,5,-,2,39,-,-,-,3,1,5,-,-,-,-,145
..Gerente de compras,-,-,-,-,-,-,-,1,-,6,1,-,-,5,78,-,-,-,3,-,1,1,-,-,35,-,-,-,9,-,1,-,-,-,-,141
..Gerente de comunicacao,-,1,1,-,-,-,-,1,-,7,-,-,-,8,18,3,-,-,1,-,-,-,-,-,11,-,-,-,10,-,-,-,-,-,-,61
..Gerente de departamento pessoal,-,-,-,-,2,1,-,3,-,16,1,-,-,19,121,2,-,-,7,-,5,6,1,1,34,1,-,-,5,-,4,-,-,-,-,229
..Gerente de desenvolvimento de sistemas,-,1,-,-,-,-,-,-,-,2,-,-,-,-,10,-,-,-,-,-,-,-,-,-,7,-,-,-,2,-,-,-,-,-,-,22
..Gerente de marketing,-,-,-,-,-,-,-,-,-,5,-,1,-,11,18,1,-,-,-,-,-,-,-,-,1,-,-,-,6,-,-,-,-,-,-,43
..Gerente de pesquisa e desenvolvimento pd,-,2,-,-,-,-,-,-,-,7,1,-,-,2,9,-,-,-,-,-,-,-,-,-,1,-,-,-,3,-,-,-,-,-,-,25
..Gerente de producao de tecnologia da infor,-,1,-,-,1,-,-,-,-,3,-,-,-,-,15,1,-,-,1,-,-,-,-,-,22,-,-,-,-,-,-,-,-,-,-,44
..Gerente de producao e operacoes,-,-,-,-,1,-,-,1,-,4,-,-,-,5,16,1,-,-,-,-,-,-,-,-,2,1,-,-,5,1,-,-,-,1,-,38
..Gerente de projetos de tecnologia da infor,-,-,-,-,-,-,-,-,-,2,-,-,-,1,18,-,-,-,-,-,-,-,-,-,5,-,-,-,2,-,-,-,-,-,2,30
..Gerente de projetos e servicos de manutenc,-,-,-,-,-,-,-,-,-,9,-,-,-,11,74,3,-,-,-,-,-,2,-,-,5,-,-,-,5,-,-,-,-,-,-,109
..Gerente de recursos humanos,-,2,1,-,1,1,-,5,-,33,2,1,-,40,180,2,-,1,15,-,-,9,1,2,72,2,-,-,25,-,2,-,-,-,-,397
..Gerente de rede,-,-,-,-,-,-,-,-,-,-,-,-,-,4,8,-,-,-,-,-,-,1,-,-,4,-,-,-,1,-,-,-,-,-,-,18
..Gerente de riscos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,4
..Gerente de seguranca de tecnologia da info,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7
..Gerente de servicos culturais,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,1,-,1,-,-,-,-,-,-,7
..Gerente de servicos de saude  administrado,28,220,64,32,64,574,4,4258,13,1963,599,23,86,222,1146,47,4,35,596,1,264,337,9,45,2880,21,23,2,876,383,71,141,3,41,5,15080
..Gerente de servicos sociais,-,1,-,-,-,-,-,-,-,13,3,-,-,1,19,-,-,-,6,-,-,-,-,-,5,-,1,-,4,-,1,-,-,-,-,54
..Gerente de suporte tecnico de tecnologia d,1,8,1,-,2,-,-,7,-,7,-,-,-,9,69,4,-,-,4,-,-,4,1,1,49,-,-,-,9,-,1,-,-,1,-,178
..Gerente de suprimentos,-,-,-,-,-,-,-,-,-,5,-,-,-,9,57,-,-,-,1,-,-,1,-,1,1,1,-,-,2,-,-,-,-,-,-,78
..Gerente de vendas,-,-,-,-,-,-,-,-,-,2,-,-,2,-,3,-,-,-,-,-,-,-,-,-,2,-,-,-,3,-,-,-,-,-,-,12
..Gerente financeiro,-,1,2,-,1,-,-,2,-,55,10,2,2,21,143,4,-,-,20,-,-,5,-,2,43,2,1,2,34,-,3,2,-,-,-,357
..Matematico,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,4
..Operador de computador inclusive microcomp,-,74,-,-,15,3,-,146,-,25,5,-,5,20,182,-,-,11,6,-,7,4,3,-,258,-,-,-,25,11,3,-,-,-,1,804
..Operador de radiochamada,-,106,993,-,-,-,-,-,-,1,5,-,-,4,13,-,-,-,-,-,3,3,-,-,18,3,-,-,-,-,-,80,-,14,-,1243
..Operador de telemarketing ativo e receptiv,-,117,-,-,-,-,-,-,-,49,2,5,-,57,114,4,-,-,58,-,-,-,-,-,40,-,-,1,54,-,-,-,-,-,-,501
..Operador de telemarketing tecnico,-,1,-,-,-,-,-,-,-,2,-,-,-,11,2,-,-,-,2,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,21
..Professor de computacao no ensino superior,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
..Programador de sistemas de informacao,1,6,2,-,-,-,-,3,-,9,-,-,-,12,109,3,-,-,-,-,-,7,1,1,73,-,-,-,4,3,-,-,-,-,-,234
..Recepcionista em geral,38,316,16,39,67,768,3,11608,18,4698,1123,22,201,1957,16689,459,1,53,2345,-,745,2549,187,618,2002,15,17,-,4968,85,369,37,1,11,-,52025
..Secretaria  executiva,-,11,-,-,2,6,-,40,-,266,152,2,1,83,407,29,-,3,44,1,2,5,1,3,454,1,4,3,160,5,3,1,-,1,-,1690
..Supervisor administrativo,8,73,11,1,14,68,1,301,19,378,34,6,36,395,2471,95,-,9,198,-,12,153,6,69,672,16,3,3,353,64,17,12,-,4,3,5505
..Supervisor de almoxarifado,-,-,-,-,-,-,-,5,-,13,-,-,7,9,116,4,-,-,1,-,-,13,-,2,36,-,-,-,9,-,3,-,-,-,-,218
..Supervisor de andar,-,-,-,-,-,-,-,-,-,-,-,-,-,1,14,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,17
..Supervisor de compras,-,-,-,-,-,-,-,-,-,6,1,-,-,13,68,1,-,-,3,-,-,-,1,-,11,-,-,-,4,-,-,-,-,-,-,108
..Supervisor de contas a pagar,-,1,1,-,-,-,-,-,-,4,-,-,-,3,14,-,-,-,2,-,-,-,-,-,2,2,-,-,4,-,-,-,-,-,-,33
..Supervisor de controle patrimonial,-,-,-,-,-,1,-,-,-,2,-,-,-,11,46,2,-,-,2,-,-,-,-,-,20,-,-,-,-,-,1,-,-,-,-,85
..Supervisor de recepcionistas,-,-,-,-,-,2,-,1,-,88,4,-,-,55,388,18,-,-,41,-,-,12,5,2,1,-,-,-,110,-,1,-,-,-,-,728
..Supervisor de tesouraria,-,-,-,-,-,-,-,2,-,12,-,2,-,9,87,5,-,-,7,-,-,1,-,-,15,-,-,1,13,-,1,-,-,-,1,156
..Supervisor de transportes,-,1,1,-,-,-,-,10,-,2,-,-,1,3,7,1,-,-,2,-,-,3,-,-,28,1,-,-,-,-,-,-,-,-,-,60
..Tecnico de apoio ao usuario inform helpdes,-,7,1,-,17,1,-,25,4,40,2,-,2,53,333,8,-,4,12,-,4,30,2,3,78,1,2,-,29,1,-,-,-,-,8,667
..Tecnico de contabilidade,-,1,1,-,9,7,-,6,1,23,1,1,2,48,147,7,-,1,8,-,-,-,1,1,90,-,-,1,5,4,-,1,-,-,-,366
..Tecnico de manutencao de sistemas e instru,-,-,-,-,-,-,-,-,-,4,-,-,-,2,45,-,-,1,2,-,-,1,-,-,7,-,-,-,-,-,-,-,-,-,-,62
..Tecnico eletronico,-,-,-,-,-,-,-,-,-,15,-,-,-,9,192,6,-,-,1,-,-,-,-,1,-,-,1,-,3,-,1,-,-,-,-,229
..Tecnico em administracao,-,63,4,-,76,160,-,215,4,142,4,1,19,200,1264,1,1,5,127,7,2,58,1,33,354,1,1,1,90,30,5,-,-,2,-,2871
..Tecnico em manutencao de equip informátic,1,11,2,-,1,3,-,26,-,43,2,-,1,57,400,7,-,-,29,-,2,42,4,3,246,1,4,-,44,4,3,-,-,-,2,938
..Tecnico em secretariado,-,1,1,1,-,4,-,8,-,86,30,-,-,71,356,2,3,-,24,-,-,-,-,3,33,4,12,-,53,-,2,-,-,-,1,695
..Tecnico em seguranca no trabalho,-,-,7,-,2,2,-,18,4,302,84,1,2,165,1117,12,4,2,75,-,-,51,5,16,94,2,-,-,27,46,6,-,-,-,-,2044
..Telefonista,-,337,2036,1,8,7,-,177,1,310,16,4,3,252,1421,32,-,3,185,-,11,48,9,17,315,7,-,-,147,10,18,123,-,49,-,5547
SERVIÇO DE LIMPEZA/CONSERVAÇÃO,26,17,69,5,12,395,5,2424,1,806,103,36,67,1187,9492,114,5,9,228,-,208,592,13,146,542,8,54,1,378,109,305,40,5,1,-,17403
..Agente de higiene e seguranca,5,5,11,2,3,71,3,337,-,166,1,-,5,146,1767,46,3,1,41,-,27,164,-,48,61,-,1,-,52,26,67,12,1,-,-,3072
..Ajustador mecanico,-,-,-,-,-,-,-,-,-,-,-,-,-,4,17,-,-,-,1,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,25
..Atendente de lavanderia,-,-,-,-,-,-,-,4,-,3,4,-,-,62,118,-,-,-,-,-,-,-,1,1,2,-,-,-,-,-,16,-,-,-,-,211
..Auxiliar de lavanderia,1,-,-,-,-,9,2,106,-,29,7,8,-,469,2911,10,-,-,12,-,12,32,1,20,12,1,5,-,17,2,68,-,-,-,-,3734
..Eletricista de instalacoes,-,-,-,-,1,-,-,6,-,8,-,-,1,45,320,-,-,-,3,-,1,8,7,1,52,-,-,-,8,-,5,-,-,-,-,466
..Empregado  domestico  nos servicos gerais,9,10,41,1,3,223,-,1159,1,349,66,27,29,84,1149,12,1,6,128,-,93,215,-,51,218,4,44,1,175,49,59,14,3,1,-,4225
..Encanador,-,-,-,-,-,1,-,2,-,-,1,-,-,14,136,4,-,1,2,-,1,2,-,-,15,-,-,-,1,1,-,-,-,-,-,181
..Jardineiro,-,-,-,-,-,7,-,8,-,14,-,-,-,20,119,5,-,-,3,-,-,4,-,1,14,-,-,-,-,1,2,-,-,-,-,198
..Lavadeiro em geral,-,-,5,-,-,2,-,21,-,8,3,-,-,31,512,-,-,-,3,-,1,12,-,3,2,-,-,-,2,-,18,-,-,-,-,623
..Lavador de roupas  a maquina,-,-,1,-,3,-,-,3,-,2,-,1,-,41,417,1,-,-,1,-,-,2,-,-,-,-,-,-,1,-,8,-,-,-,-,481
..Marceneiro,-,-,-,-,-,3,-,5,-,4,-,-,-,15,123,2,-,-,1,-,-,-,2,-,6,-,-,-,-,-,-,-,-,-,-,161
..Operador de caldeira,-,-,-,-,-,-,-,-,-,-,-,-,-,6,134,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,141
..Passador de roupas em geral,-,-,-,-,-,-,-,-,-,-,1,-,-,4,110,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,117
..Pedreiro,2,-,-,-,-,3,-,5,-,3,-,-,2,41,410,2,-,-,2,-,-,1,1,1,43,-,-,-,2,2,1,-,-,-,-,521
..Pintor a pincel e rolo exceto obras e estr,-,-,-,-,-,-,-,-,-,2,-,-,-,10,24,-,-,-,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,40
..Servente de obras,-,-,1,-,-,3,-,27,-,15,-,-,2,25,321,2,-,1,10,-,1,6,1,-,16,1,-,-,2,2,-,-,-,-,-,436
..Zelador de edificio,9,2,10,2,2,73,-,741,-,203,20,-,28,170,904,30,1,-,18,-,72,145,-,20,97,2,3,-,118,26,60,14,1,-,-,2771
SEGURANÇA,47,27,51,10,61,911,12,3865,5,723,33,12,34,781,5244,80,1,8,432,-,395,1178,14,107,649,12,74,-,110,133,357,80,2,1,-,15449
..Agente de patio,-,1,-,-,2,4,-,20,-,7,-,-,-,37,36,-,-,2,13,-,2,1,-,-,6,-,-,-,1,2,3,-,-,-,-,137
..Agente de seguranca,-,3,-,-,5,119,-,208,-,18,-,-,1,90,366,8,-,2,22,-,7,208,-,8,22,-,2,-,5,3,7,5,-,-,-,1109
..Agente de seguranca penitenciaria,-,-,-,-,-,-,-,44,-,6,6,-,-,1,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61
..Guardacivil municipal,-,1,-,-,-,19,-,34,-,20,-,-,-,18,44,-,-,-,1,-,8,-,4,-,107,-,-,-,1,2,10,-,-,-,-,269
..Guardador de veiculos,-,-,-,-,-,-,-,1,-,5,-,-,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9
..Porteiro de edificios,5,2,7,-,4,88,-,453,-,146,8,12,1,245,2095,54,-,-,99,-,2,364,9,34,49,11,2,-,42,9,26,-,-,-,-,3767
..Vigia,40,14,13,7,8,496,8,2420,4,428,12,-,31,272,1785,11,1,1,175,-,298,395,-,46,334,1,25,-,47,98,209,52,2,-,-,7233
..Vigilante,2,6,31,3,42,185,4,685,1,93,7,-,1,116,918,7,-,3,121,-,74,210,1,19,131,-,45,-,14,19,102,23,-,1,-,2864
OUTRAS OCUPAÇÕES ADMINISTRATIVAS,18,318,221,40,146,1264,38,7413,12,1660,122,18,117,3077,21805,111,7,39,937,-,764,2199,35,413,5729,96,311,11,439,596,1153,866,11,197,-,50183
..Acabador de calcados,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
..Ascensorista,-,-,-,-,-,-,-,5,-,5,-,-,-,19,296,-,-,-,6,-,-,2,2,-,1,-,1,-,2,-,2,-,-,-,-,341
..Copeiro,1,2,10,-,29,107,6,135,1,217,7,-,2,152,1731,25,-,3,75,-,4,189,5,28,54,2,5,-,65,10,21,6,-,-,-,2892
..Copeiro de hospital,-,1,-,-,1,5,-,1,-,34,2,-,-,542,5550,17,-,-,8,-,-,74,2,8,-,-,-,-,4,1,39,3,-,-,-,6292
..Costureira de reparacao de roupas,-,-,-,-,-,1,-,1,-,1,-,-,-,27,200,1,-,-,3,-,-,-,-,2,-,-,-,-,-,-,2,-,-,-,-,238
..Costureiro na confeccao em serie,-,-,-,-,-,1,-,-,-,3,-,-,-,10,109,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,124
..Cozinhador conservacao de alimentos,-,-,-,-,-,-,-,4,-,5,1,-,-,32,192,-,-,-,3,-,-,-,-,-,1,-,-,-,-,-,4,-,-,1,-,243
..Cozinheiro de embarcacoes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,5
..Cozinheiro de hospital,-,-,-,-,-,21,5,10,-,14,3,1,-,344,3457,7,-,-,7,-,1,56,3,26,1,-,2,-,3,1,195,1,-,-,-,4158
..Cozinheiro geral,-,-,5,-,8,434,2,97,-,158,34,-,1,161,763,9,-,-,31,-,11,74,-,61,27,8,50,9,7,3,58,5,5,2,-,2023
..Motorista de carro de passeio,1,64,44,15,69,109,5,1224,3,272,18,12,26,210,1219,12,6,11,201,-,132,220,5,46,2928,51,129,2,123,301,171,54,-,79,-,7762
..Motorista de furgao ou veiculo similar,-,216,96,-,8,47,3,1342,6,266,28,-,5,197,1971,9,1,3,217,-,133,518,7,132,1832,24,70,-,31,138,307,738,-,108,-,8453
..Trabalhador de servicos de manutencao de e,16,35,66,25,31,539,17,4594,2,685,29,5,83,1383,6316,30,-,22,386,-,483,1066,11,110,885,11,54,-,204,142,354,59,1,7,-,17651
Total,313,6692,3956,234,1340,8320,93,69696,293,32738,7620,467,2966,22914,144876,3838,153,797,14687,13,4382,14262,908,3695,48871,657,867,83,18532,3958,3910,1685,35,558,94,424503