time,open,high,low,close,Volume,Volume MA
1544572800,355,409.8,337,358.99995,654.74302089,NaN
1544659200,358.49995,360,335.05,346.3,428.61932032,NaN
1544745600,346.5,379.99,326.10038,336.58999,561.06937487,NaN
1544832000,336.58999,349,320.65001,332,234.93247433,NaN
1544918400,339.98,345,329.02,339.75872,76.28963147,NaN
1545004800,339.8293,377.9499,330.00001,369,723.68688231,NaN
1545091200,369,400,338,397,719.54992803,NaN
1545177600,397,447.9,392,404,1594.48867803,NaN
1545264000,404,449,390,443.92832,1041.09561973,NaN
1545350400,443.87985,463.10219,423,436.62769,779.35222322,NaN
1545436800,436.6277,452,425,452,272.03552512,NaN
1545523200,452,1200,452,523.9,2855.96416977,NaN
1545609600,523.8,650,523.8,566.01313,3023.664956,NaN
1545696000,566.01313,569,490.17001,539.99,799.75548076,NaN
1545782400,539.98,564.99,505,529.98,758.08743483,NaN
1545868800,529.97995,530.97995,437.5,464.49,933.18824199,NaN
1545955200,464.999,557.51,450.42415,537.94999,937.94948521,NaN
1546041600,543.99999,580,523,543,852.87875757,NaN
1546128000,530.10005,546.43999,520.00001,543.99999,424.79827619,NaN
1546214400,543.99999,570,525.02001,526.01,362.25391044,901.720169554
1546300800,526.01,556.27,524,545,248.52654926,881.4093459725
1546387200,547.61,620,542.30005,607.97,1435.02790679,931.7297752960001
1546473600,607.799,608,565.01,579.84888,580.39717515,932.6961653100001
1546560000,579.88,599.99998,572,593.98,554.59214857,948.679149022
1546646400,593.98,615,591,595.39099,463.43005834,968.0361703655001
1546732800,595.39199,605,581,599,496.22319653,956.6629860765
1546819200,591.08,596.97995,568.1,576.88,589.8897063,950.1799749900001
1546905600,576.84,584.98,560,566.90434,659.08574221,903.4098281990002
1546992000,569.99994,574.2,555.03013,560,361.50628302,869.4303613635002
1547078400,558.00001,568.5,473,497.48,995.51968582,880.2387344935001
1547164800,490.83992,500.00005,473.5,486.95998,389.60326892,886.1171216835
1547251200,479.84,497.98765,470,476.81,151.56700137,750.8972632635001
1547337600,480.48926,480.48926,426.07,442.98,474.80685241,623.4543580840001
1547424000,442.98,518,433.4801,493.08,788.80928951,622.9070485215
1547510400,493.08,510,460,462.48,468.1226819,608.408810875
1547596800,465.26,490,462.26,469.09,280.50350015,575.774573783
1547683200,469.09,471,454.00001,465.9999,179.77106249,537.865652647
1547769600,463.06,470.99,455,457,156.20873649,503.032151593
1547856000,457,474,456.32015,467,160.35435692,489.80995562949994
1547942400,467,471.27,450,459.2,248.44882988,484.11970160149997
1548028800,453.34031,461.283,435.6906,445.96992,245.25301031,483.956024654
1548115200,441.75044,457.99999,436.30001,456.26984,219.26524116,423.1678913725
1548201600,455.81962,459.89999,441.02,447.97999,181.13139221,403.20460222549997
1548288000,445.02,451,442,443.01,136.24300333,382.28714496349994
1548374400,446,447,441,441.05,130.01540204,365.61641214849993
1548460800,443.8,445.99999,439,442.82997,101.41890985,345.87619781449996
1548547200,440.2,443.46,424.13014,429.31967,99.15831354,321.3396281764999
1548633600,425.02,432.99995,382.00001,404.1995,375.31516115,307.1510991234999
1548720000,404.1795,405.89999,390,396,175.36665018,297.8441174814999
1548806400,396.08,410.89199,333,405.28996,712.22645383,283.67945588199984
1548892800,405.24994,412.99,385.04,393.51,234.28096993,275.91334093249986
1548979200,393.55,401.327,389,393,189.26052592,277.79801715999986
1549065600,392.98995,399.08995,385,395.25003,225.43870433,265.32960975599985
1549152000,398.97,398.97,386.01081,388.21,36.44465617,227.71137808899985
1549238400,389.91166,394.99994,386.00001,394,60.31579053,207.32103352049984
1549324800,394,394,386.01007,393.8,241.37172537,205.36444478149983
1549411200,393.8,393.8,375.00007,386.95,147.3562535,203.74370433199982
1549497600,386.96,396,383,385.15,152.94143419,203.58033921699985
1549584000,385.2,448.7,385.103,428.05,754.5781379,233.29152826599983
1549670400,428.1,437.49,422.00087,426.55,226.89117713,232.21364562849985
1549756800,426.7,450.01,424,450,245.60558677,232.23127445149984
1549843200,450,459.89999,436.00001,454.98,317.71269194,237.15364699049982
1549929600,451.06001,459.9,441.2,451.2,292.53925552,242.72404015599983
1550016000,451.22,475.5,451.22,464.23995,406.96688498,256.26023423849983
1550102400,464.18,466,450.9,456.86978,222.51180028,260.88505415049985
1550188800,455.73888,457.7196,445.8001,452.83763,148.25894781,263.22705604849983
1550275200,453.73864,457.21,448.74489,451.94,63.49357042,261.44381889249985
1550361600,451.9402,499.1,451.9,498,628.77387749,274.11675470949984
1550448000,498,550,492.5705,540,991.30470002,314.91365720149986
1550534400,540,553.5,533.00001,533.01,524.78047176,305.54135809799993
1550620800,533,554.99999,513.02001,549.9,677.69370092,327.7119946474999
1550707200,547.02002,555,538.00006,552.95999,320.26138112,334.2620374074999
1550793600,552.95999,560,546.5,558.99999,185.37823694,332.2590140379999
1550880000,558.5,590,548,588,441.10791408,352.49217693349993
1550966400,588.12,630,511.02001,525,1230.66580773,411.0096777934999
1551052800,525.01,538.99,509.88,527.92993,642.60198674,431.071190862
1551139200,526.34886,528,510,513.01,285.47838463,437.9772974185
1551225600,515.5,530,480.00003,507.67199,615.8772099,461.12408620400004
1551312000,504.15,517.19998,501.00001,516,282.60832579,437.5255955985
1551398400,515.8,524.23,504.41001,517.74,218.05753908,437.08391369599997
1551484800,517.74,520.79,510,515,171.63799081,433.385533898
1551571200,511.5,516,504.5,511.5,53.74388391,420.1870934965
1551657600,506.06003,512.50942,485,488.12001,207.30563826,415.92541263350006
1551744000,488.12001,520,480,505,394.22619923,415.288378346
1551830400,496.02001,522,496.02001,518,278.10784636,418.06818065
1551916800,518,538,517.1,530.2,347.64981713,428.03772411600005
1552003200,534.57998,534.57998,515,518.04,209.98030411,435.36206080050005
1552089600,518.08,533.2,518.08,531,71.9881897,407.52277641100005
1552176000,531.79999,531.9999,525,528.35,80.2784411,361.97146346500006
1552262400,528.48,528.96999,511.00011,511.43012,260.33881451,348.7493806025
1552348800,516.18961,516.95999,500.0001,509,274.33023615,328.581207364
1552435200,509,514,505.22001,508.22,136.56591161,319.3964338885
1552521600,508.62,525.5,508.22,516.99,153.18019049,317.786531566
1552608000,516,528,508.7911,525.48,409.92309253,316.2272904885
1552694400,525.48,541,522.63002,533,436.97440706,276.542720455
1552780800,531,533,522.6,528,112.65338772,250.045290504
1552867200,528,533.33,525,531.89996,263.2324454,248.93299354250001
1552953600,531.96,538,526,534.99998,317.50871237,234.014568666
1553040000,534.99998,535.59989,530.87,533.99997,131.51433725,226.459869239
1553126400,530.87,534.88,521.00002,528.93995,257.36027704,228.425006137
1553212800,528.96,538,522.01001,537.35,232.8761251,231.4869128515
1553299200,537.35,540.1,531.37001,537,312.19445611,244.4094414615
1553385600,540.11,540.981,534.64,538.26,132.21716292,240.65501769450003
1553472000,538.7,541,525,529.14002,203.12261822,231.09983864400002
1553558400,534.61993,534.61994,525.5,528,126.84824836,223.53685874400003
1553644800,529,569.538,526.37021,559.98,694.65237534,240.88698665450002
1553731200,559.98,565,543.01001,548.15999,231.8107402,241.97850845899998
1553817600,548.16,562.99,544.50001,562.99,330.85845155,254.9220215515
1553904000,562,580,562,566.5,191.54188939,260.48519396599994
1553990400,566.5,569.5,563.01,564.1,138.66575756,254.40154111849998
1554076800,564.1,574.88,560.21001,565.95997,396.85306163,260.52768239249997
1554163200,565.75957,639,558.5,638.99,1995.72145846,353.485459735
1554249600,638.99,719.93956,573,623.0001,2207.47150653,456.200025537
1554336000,627.74,679,585,617.35,1122.483439,491.8280428605
1554422400,612.24,664.99999,605.29001,651.02951,877.93467682,513.8760563485
1554508800,650.72927,670,645.02001,654.49,398.28452938,528.1576134315
1554595200,656.26,688,650.01,673.11001,454.42405795,537.7171940589999
1554681600,675,741,675,714.94,1747.85916819,609.2347168499999
1554768000,710,717.94002,690,698.47,599.61976511,632.6399882429998
1554854400,698.00033,717,693,701.98,488.88230825,644.2160898034999
1554940800,701.98,701.98,600,645.83,855.98339298,675.3714531974999
1555027200,645.41958,671.89999,616.00001,650,305.88618028,675.056039406
1555113600,650,659.17776,646.08003,656.95954,73.13909108,672.1021358139999
1555200000,650.74003,661,640,661,109.00557449,667.3962836274999
1555286400,660.95998,679,632,636,408.55839899,681.481791159
1555372800,636,662.45,626.17001,650.23,316.31950257,662.5651475205
1555459200,655.98,705,650.23,663.97,647.51679883,683.3504504519999
1555545600,663.97,709,659.15,692,537.72502232,693.6937789904999
1555632000,693,696,673.00584,683.28118,172.50258351,692.7418136965
1555718400,693.39996,709,680,693.1,272.92227628,699.4546396325
1555804800,693.1,693.1,660,691.19999,241.20022333,691.6719977175001
1555891200,682.08017,693,673.2,685.16004,321.93895582,607.9828725855
1555977600,690.99894,695,675.1,688.75,422.52765714,518.735680116
1556064000,688.75,693.05,659.66,668,324.62737358,478.84287684500003
1556150400,667,674,620,632,300.20966028,449.95662601800007
1556236800,632,661.799,610,622,502.04976512,455.14488780500005
1556323200,621.8,648.98285,618.5,645.98658,105.90277854,437.71882383450003
1556409600,645.93739,645.93739,625,625.0201,89.90482483,354.8211066665
1556496000,630.79989,631,600.00002,613.98,178.48568182,333.764402502
1556582400,609.1,640,609.1,638.77948,151.18868766,316.87972147249997
1556668800,638.72992,647,628.06,629.82005,138.37506992,280.99930531949997
1556755200,633.76776,645.99999,628.02,642.49994,212.28767987,276.319380299
1556841600,641.99994,710,510,662.5,890.58561673,317.19170658149994
1556928000,662.49,668.99999,633.39,652,107.07605807,317.09523076049993
1557014400,652.00001,657,637.17007,642.02,108.96749481,302.11568555149995
1557100800,649.28881,690,639.66001,683.19,547.82868354,313.69114460000003
1557187200,686.59764,770,625,689.0001,1921.1207926,377.3713442885
1557273600,686.01,700,668,678.85,694.50947525,385.210566935
1557360000,680,687.35,672,678.52,578.48164217,405.509519868
1557446400,684.82514,700,677.61,694.2,618.96970694,422.811891401
1557532800,694.2,794.65,683,762,1261.18943769,473.811352119
1557619200,759.98,759.98,680.5,709.97,800.77878603,497.75334362949997
1557705600,709.79,828,634.66,784.97934,3492.85605979,651.269763762
1557792000,784.97934,870,760,865,2236.71959583,746.8743748745
1557878400,865,1170.50973,800.37,1027.5,3922.28377533,927.978080627
1557964800,1027.49973,1110.24,1000.01,1075,3156.77417542,1060.714301142
1558051200,1070.08,1078.77,900,1016.79,2341.09296687,1172.4738105585002
1558137600,1016.79,1038,975.51,985.46002,654.38640345,1200.6978894895003
1558224000,986.43,1049.55,985.02,1030.00013,1054.55140613,1244.5011757050004
1558310400,1034,1035,990,1023.99995,740.48582213,1273.9660324285003
1558396800,1018.33,1067.97878,1018,1050,595.61624532,1296.8280911985005
1558483200,1048.98,1060,1000,1012.1,614.81152426,1316.9542834180004
1558569600,1012.11,1022.98999,975.10005,1008,842.75574566,1314.5627898645002
1558656000,1008,1025,1000,1015,451.90734519,1331.8043542205003
1558742400,1015,1037.99,1012,1022,185.93558803,1335.6527588815002
1558828800,1022,1049.68,1001.01,1039.95,664.31350203,1341.4769998060003
1558915200,1039.95,1089.99999,1022,1079.84993,1119.23052528,1301.3824864400003
1559001600,1082.99,1094,1060.01,1089.27,725.8298589,1302.9485056225003
1559088000,1089.26,1100,1065,1082.25,439.87478169,1296.0181625985
1559174400,1082.25,1169.34,1007.21002,1050,1540.96814857,1342.1180846800003
1559260800,1050,1089.99998,1035,1079.9,572.67959818,1307.6925927045
1559347200,1078,1100,1067.00023,1072.5,217.72975719,1278.5401412625001
1559433600,1078.51,1083,1072,1075.16036,95.60917825,1108.6777971855001
1559520000,1075.16036,1083,1000,1005.4666,612.27153454,1027.4553941210002
1559606400,1005.4666,1020.0987,900.01009,941,1197.65924372,891.2241675405
1559692800,944.99999,1014.09,944.99999,983.89,625.92899647,764.6819085930001
1559779200,983.47,1005,940,1002.98,353.20306095,665.2874132970001
1559865600,999.85,1014.88,970,992.96,721.34641578,668.6354139135001
1559952000,985.00006,995,952.01,974,338.12933118,632.814310166
1560038400,974,983.68708,900,925.93975,454.25882928,618.5029605235001
1560124800,916.79028,977.99999,916.3301,962,496.16035524,613.5301660195
1560211200,963,968.59,939.03001,961,281.87264602,596.8832221075
1560297600,963.59,1007.01,910,1005,856.05709263,597.548289456
1560384000,1006,1019.99,990.1,1004.99,493.52055019,599.628949706
1560470400,1000.2,1026.08,985.01,1025.1,556.21872743,618.1431066759999
1560556800,1022,1044,1017,1035,287.73010857,599.313937003
1560643200,1035,1050,920,1026.99999,438.81590971,565.2932062245
1560729600,1026.89,1052.88,1014.96,1038,567.97010825,557.400218692
1560816000,1037.54005,1045.2,990,1023.95,618.76120311,566.344539763
1560902400,1023.95,1040,1015,1039.99994,342.7722787,506.4347462694999
1560988800,1040,1050,1021.00001,1040,213.28343711,488.4649382159999
1561075200,1040.08,1160,1040.03001,1159.99,1244.3708267,539.7969916914999
1561161600,1156,1200,1063.63001,1159.98,1423.01034731,606.1670501444999
1561248000,1159.98,1175,1130.01,1150,315.64460874,591.3357038544999
1561334400,1148.01,1195,1100,1193.63977,554.31707123,559.1685952299999
1561420800,1193.52993,1241.88413,1165.96007,1230.96,724.98609449,564.1214501309998
1561507200,1230.9659,1399.15,1200,1323.58,2446.04268037,668.7634311019999
1561593600,1326.49,1340,950,1144.58,1818.5106951,723.6216450679999
1561680000,1140.00005,1247,1130,1207.99,914.08321309,752.4193391634999
1561766400,1205,1227,1151.10006,1226.99999,544.84239538,756.9485174684999
1561852800,1217.12233,1229.9,1151.5,1151.51,405.35019696,752.4080095544999
1561939200,1151.51,1180,1054.00001,1160.80045,736.48831212,775.1387928595
1562025600,1174.95998,1174.95998,1056,1116.31,579.61270747,761.3165736015
1562112000,1119,1170,1117,1151.71091,526.06072276,762.94358223
1562198400,1151.71091,1159.98,1082.76,1099.87973,444.41328242,757.3533099795
1562284800,1099.75,1137,1084,1127.75,373.68345171,761.6509771364999
1562371200,1127.13,1137,1103.68997,1111,154.1175425,747.416058776
1562457600,1111,1180,1105.00005,1161.00037,324.91557049,735.263331888
1562544000,1179.84999,1180.00005,1149.99995,1174.97,412.60810281,724.955676873
1562630400,1171.13,1190,1126,1164.88,454.92321799,730.5632238374999
1562716800,1155.18006,1173,1080.00005,1117.37799,859.9459707,762.896350517
1562803200,1114.99995,1118.42323,1009.61946,1029.91995,640.73522307,732.7145703355
1562889600,1028.67919,1086.3799,1028.67919,1052.37,229.77295446,673.0527006929999
1562976000,1052.36,1061.44,1011.00896,1027.7028,146.85407611,664.6131740614999
1563062400,1027.7028,1034.49086,913.85001,919,598.45421209,666.8200311045
1563148800,919,979.9,822.50055,890,1036.07559579,682.3745061695
1563235200,895.77795,919,751.69005,775.25,1383.72466714,629.258605508
1563321600,760.13019,870.5,750,809.47,1030.67364632,589.866753069
1563408000,809.99995,859.10152,786.18003,841.38,976.54715062,592.9899499454999
1563494400,841.37,845,805,827.18,550.6075998,593.2782101665
1563580800,833.97838,859,815.54001,840.02,419.87397094,594.0043988655
1563667200,851.8698,858,822,841.98,266.45738693,570.5028526059999
1563753600,841.95,844.9998,809.00001,820.52007,390.54859168,561.0496468165
1563840000,826.91996,829,791,804.99,492.42196707,559.367709032
1563926400,804.81,829.83562,779.55,819.50621,519.75442502,563.134766162
1564012800,819.5,841.56559,811.00006,835.41,319.03660524,560.4024238385001
1564099200,835.41,838,815,831.75015,487.3521436,577.0641538935
1564185600,831.75,839,790,808.70394,543.84974554,588.010862646
1564272000,808.70227,810,791,802.09025,153.29499796,575.0452074035
1564358400,806,815,800,802.00005,175.53609832,561.07585142
1564444800,807.49995,818.34476,796.11112,809.95999,453.01611957,540.7293588635
1564531200,805.10005,827.99981,804.99001,820.45002,430.53831283,530.2195133515
1564617600,820.45003,837,813,827,376.79570898,537.5706510775001
1564704000,830,850,822.11,844.94,567.182855,558.5870900220001
1564790400,844.94,855,838,846.50964,257.12248543,541.5205036890001
1564876800,853.99999,858,840,857.99,191.64574335,499.2990110670001
1564963200,849.11025,920,846,889.98861,1130.18386652,486.621971036
1565049600,889.98999,901,860.0001,879.39789,786.98004322,474.4372908810001
1565136000,873.39887,897.99,868,891.9796,382.16469668,444.7181681840001
1565222400,891.96999,898,850,871.00001,408.38673985,437.6071251865002
1565308800,877.99999,879.99979,838,839.11001,666.44120956,449.9354871175002
1565395200,840,892.13,810.80003,827.56385,955.04179137,484.36470733950017
1565481600,830.11,852.30275,827,850.99999,181.42642005,473.90859875800015
1565568000,846.08313,851,835,844.03699,204.13543105,459.4942719570001
1565654400,847.96999,847.96999,820.02,835.00005,376.33068035,452.3230847235001
1565740800,835.00001,849,771.00005,775,1489.88166451,510.865337687
1565827200,774.50001,789,740.00001,769.89945,979.03342313,535.4494016635001
1565913600,769.89999,769.9,745,758.99994,333.94519828,524.9541743005001
1566000000,755.50053,764.73458,745,757.96979,164.6863365,525.5237412275002
1566086400,748.58,792,745.01002,775.36011,343.94785279,533.9443289510001
1566172800,776.00169,823.82,775.35,817.00003,464.90060434,534.5385531895001
1566259200,823.67963,824.99784,790.09001,805,348.0446949,530.413872293
1566345600,803,805.595,750,764.87849,497.22663127,536.4354184075
1566432000,764.86897,800,750.10007,785.0011,533.14509517,534.7335304160001
1566518400,784.2,797.9782,782,791.00111,367.03210063,540.2290111760001
1566604800,792,796.76039,772.37,783.12988,139.21634843,537.6075414300001
1566691200,783.12988,788.16,774,774.99,119.82116554,487.0894063810001
1566777600,774.99005,790,774.00009,784.62949,209.73611103,458.2272097715002
1566864000,778.1,784.85,772,778,178.24416373,448.0311831240002
1566950400,775.88,786.08,720,737.52331,682.01551115,461.71262168900023
1567036800,737.52463,742.94934,702.0031,714.03,599.21133659,458.3511280405002
1567123200,714.0181,724,702.0031,720.99676,381.1678397,429.6574304570002
1567209600,719.99756,720,704,715.00528,135.23947831,427.3480833700002
1567296000,715.0165,720,705,714.01487,95.1716912,421.8998963775002
1567382400,719.98,748.5,714.04,740,379.47156051,422.0569403855003
1567468800,740,750,731.00001,745.18369,266.43262348,360.8844883340003
1567555200,741.00001,745.17393,500,731.39997,747.412635,349.30344892750026
1567641600,729.99999,731.5,710,714.00054,422.65200154,353.7387890905003
1567728000,723.65843,731.62859,685.00002,704.99999,469.0457191,368.95675822050026
1567814400,704.99999,729.68999,701.67173,722.86001,235.79555376,363.54914326900024
1567900800,722.90001,739.96,722.81001,737.86995,359.8379321,358.29600965700024
1567987200,731.81056,744,722.81,744,455.93234499,363.69039216150026
1568073600,735.27571,745.97,726.16,735.79999,267.07346231,352.1827337135002
1568160000,735.57439,739.99,725,734.09975,188.89992557,334.9704752335002
1568246400,726.81761,736,726.05,731.35,142.03877573,323.72080898850027
1568332800,731.52001,740,620,739,395.26419196,336.5232011650003
1568419200,735.37,760,729.00001,756.00001,357.93701512,348.4289936440003
1568505600,756,769,754.0003,764.68137,245.02586261,350.1934812230003
1568592000,767,820,760.00013,803.38,880.25175118,385.2938605955003
1568678400,800.18001,879,798,860,1332.45235885,417.8157029805003
1568764800,858.1,877,800.0542,856.98983,1071.12634316,441.41145330900025
1568851200,856.98,923.9985,826,915,1460.13420281,495.35977146450034
1568937600,912.0302,919,875.00153,893.1203,705.94814542,523.8952048200002
1569024000,899.69,911.99998,895,896.2,198.61573395,529.0674069575003
1569110400,896.2005,903.8387,860,883.43939,290.38966412,524.6133121380004
1569196800,872.93001,894.99962,843,844,497.78148256,536.1807550920005
1569283200,844.05,850.9852,732,750,1255.62022585,561.5911346345003
1569369600,750,755,703.34,727.00395,555.93467515,568.2552683150004
1569456000,736.99953,736.99953,666.66,703,747.80948325,582.1934565225004
1569542400,704.99995,749,685,738,506.80774297,595.7440659830004
1569628800,738,747.79911,723.92084,737.97613,270.44713329,591.2745260425004
1569715200,729.01,738,700,721.08,242.79500737,580.6176591615003
1569801600,721.08,748,708.1,743.99999,439.10212112,589.2190921020003
1569888000,744,800,734.00007,743.95892,629.37703016,611.2429473315003
1569974400,738.52541,754.79999,736.01,745.97,310.28774049,619.6553955695003
1570060800,746.82,752.98716,715.00002,719.99999,340.28220034,616.9062959885003
1570147200,719.99,729.99564,716.01,725.91,161.99021106,607.1089557855004
1570233600,721.61591,726,712,714.99,58.55107745,597.7852165275003
1570320000,714.991,718,700,705.00999,70.93883203,557.3195705700003
1570406400,700.00001,748,695,737.63,300.23846818,505.7088760365003
1570492800,740.98933,752.96989,730,733.43,239.64993759,464.13505575800036
1570579200,739.22995,800,732.80247,788.2,807.03809194,431.4802502145004
1570665600,786,799,777.99014,792.47807,362.7204478,414.3188653335004
1570752000,792.47969,795.9999,746.00008,756.99,515.28844437,430.15250085450043
1570838400,759.9352,767.99,750,751.81427,114.59652412,421.36284385450034
1570924800,759.39417,767.98318,750,759.99999,108.47245562,401.89739250750034
1571011200,759.99999,780,753.2,774,294.04511307,353.8186368685004
1571097600,774,780,757,762.99,323.61841519,342.20282387050037
1571184000,762.82,768.42,732.8,738.97,378.30919427,323.7278094215004
1571270400,739.99999,757.99988,732,744.98995,289.73068983,312.8739567645004
1571356800,744.98995,748.98,721.0004,722.501,406.46761747,319.6749809735004
1571443200,722.501,732,715,717.50005,106.83604367,312.8770327885004
1571529600,719.99939,748.98,711.00421,729.31999,225.78946074,302.2113997695004
1571616000,723.57506,760,722.71,728.22,413.26655806,291.4058761645004
1571702400,728.22,741.44109,713,713.01,457.05059101,298.7440186905004
1571788800,713.01,727.98966,640.1303,662.99861,1260.76253182,344.7680352645004
1571875200,655.25406,676.72276,610.0001,668.71999,396.11332261,356.47419084200044
1571961600,668.18879,740,658,710.53561,935.32405682,400.3128398105004
1572048000,715.98606,753,671,689.04091,846.43391259,439.08759383850037
1572134400,689.50025,718.98995,688.00001,718.94,312.73682168,439.71251151350043
1572220800,718.94,720,695.04001,715.98981,731.49787848,464.3049085580004
1572307200,711,760,708.34001,752.5,915.21985514,469.71399671800043
1572393600,747.05,759.7,725,736.99373,506.15006792,476.88547772400045
1572480000,726.91025,754,725,737.69,339.48032323,468.0950716670004
1572566400,737.69995,739.97,723.2,736,424.6375189,483.5971214060004
1572652800,736,736.5,726,729.55631,98.96808573,483.12190291150046
1572739200,732.68899,739.71,726.10001,727.50005,204.75404905,478.6573497105004
1572825600,727.50025,746,727.5,744,283.97671204,476.6752645530004
1572912000,744,759,726.62,751.00001,575.44981078,486.5322953785004
1572998400,754,770,737,765.00157,506.55238722,497.3733802480004
1573084800,765.00238,775,752.30001,763.97969,387.23591466,496.4117951075003
1573171200,760.00001,773,745,767.03,528.83437599,517.5117117235003
1573257600,767.04,770.9,762.47456,769.39825,156.74268833,514.0593731030003
1573344000,769.39669,794,763.89,786.00011,312.03306122,508.99769826100027
1573430400,786.00011,788,763.89,777.12059,322.96785189,502.29356130500025
1573516800,768.20207,783.28999,768.20001,781.98,169.94901125,447.75288527650025
1573603200,777.00006,789,726,785,438.40562716,449.8675005040003
1573689600,783,790,749,782.99995,230.11612722,414.60710402400036
1573776000,782.99,783,760.48002,764.19067,121.7361258,378.37221468450036
1573862400,770.83816,776,762.05,769,62.13144851,365.8419460260004
1573948800,769.0001,781.77,765.4321,781.75,48.10206052,331.67215512800044
1574035200,781.76,781.76,745,751.00002,278.89972265,299.85614850350044
1574121600,760.891,760.891,738,749.8593,187.13501519,283.90539586700044
1574208000,749.85999,749.85999,733,742.95652,117.11950992,272.7873552015004
1574294400,733.11328,746,680,683.63799,545.65330804,278.8381446585005
1574380800,699.85543,699.85544,620,646,903.29324812,319.05440277800045
1574467200,641.00001,681.67999,630.2002,656.98957,146.47352179,316.14037641500045
1574553600,656.30993,656.30993,620,620,170.52669856,310.46787574100046
1574640000,620,647.66999,582.94283,625.00013,608.23735305,312.1072528545004
1574726400,635.00333,641.78494,620.00197,633.82763,295.47086931,301.55317695900044
1574812800,633.81994,750.1,622,660.90006,922.53362084,328.31806226800046
1574899200,664.20885,667.82999,636.45002,646.35,296.84657674,316.7186723055005
1574985600,641,667,641,660.99995,367.37938861,327.25050731950046
1575072000,658.01013,664.99999,646,653.15223,92.03205017,316.25045676700046
